naam,positie,agility_zonder_bal_s,agility_met_bal_s,acceleratie_kmh,max_snelheid_kmh,sprong_cm,uithoudingsvermogen_km
Ruben van Dijk,Middenvelder,7.3,9.1,28.1,32.4,64,9.1
Milan Vos,Middenvelder,7.9,9.4,27.7,32.0,65,11.3
Koen Jansen,Middenvelder,8.4,10.4,27.5,32.9,49,8.8
Levi Brouwer,Middenvelder,9.7,10.7,33.7,38.3,51,10.8
Milan Brouwer,Aanvaller,7.8,9.4,31.9,35.2,56,10.4
Sven Smit,Verdediger,9.4,10.5,33.6,37.7,63,11.8
Sven de Wit,Doelman,7.6,8.9,35.7,38.3,54,8.2
Kevin de Vries,Verdediger,9.0,10.9,30.6,35.4,56,11.0
Niels de Vries,Verdediger,10.1,11.5,34.6,36.8,59,11.4
Kevin Peters,Aanvaller,8.4,10.0,27.3,31.1,46,8.6
Sem Visser,Verdediger,7.6,8.7,31.5,37.0,44,10.3
Stijn Meijer,Verdediger,9.7,11.5,30.2,33.9,51,12.6
Noah van Dijk,Aanvaller,7.7,9.3,27.1,32.4,46,9.5
